Test No.,Displacement Into Surface,Load On Sample,Modulus,Hardness,Row Number,Distance
1,224.9901401,3.137236656,250.7564166,2.39516307,0,-51.916
2,222.0870596,3.038637929,223.13863,2.393917978,0,-50.497
3,222.9030574,3.06378514,270.7068772,2.369291381,0,-48.512
4,224.3523327,3.133442713,252.3620824,2.404981042,0,-46.526
5,,,,,,-45.107
6,222.2256144,3.043497489,266.4333642,2.369126119,1,-45.675
7,223.1868551,3.130519383,230.2800061,2.442274797,1,-43.689
8,224.2200491,3.077378088,181.0980368,2.417668955,1,-42.27
9,223.3715898,3.094639671,236.1908705,2.404015165,1,-40.284
10,,,,,,-39.008
11,223.2289063,3.248803577,274.2820937,2.513484587,2,-38.582
12,221.6057499,3.123921025,239.867378,2.465784305,2,-36.88
13,223.603497,3.12970559,259.8133284,2.414132575,2,-35.178
14,224.9909434,3.133201188,209.2781435,2.420554542,2,-33.76
15,,,,,,-32.057
16,225.2008968,3.238858262,212.7010374,2.50171888,3,-32.625
17,219.5692614,2.974770214,243.5879754,2.381306066,3,-30.072
18,223.3859915,3.092576445,238.3102853,2.400610182,3,-28.937
19,221.7796843,3.061440448,243.9203933,2.406270197,3,-27.518
20,,,,,,-26.384
21,224.9667296,3.105576146,250.8937769,2.369644091,4,-25.816
22,223.3820496,3.127220108,249.1990356,2.42293837,4,-24.398
23,226.7033326,3.209593578,232.7313431,2.428342082,4,-22.412
24,,,,,,-20.71
25,223.3780132,3.163916329,193.6208666,2.498071434,4,-19.008
26,223.6984246,3.033424374,209.418557,2.364668528,5,-19.575
27,225.2946773,3.151134723,244.867503,2.403414922,5,-17.873
28,224.5667157,3.205540287,162.3161796,2.546774198,5,-16.171
29,224.5486842,3.122976446,208.8211599,2.422141494,5,-14.185
30,,,,,,-12.483
31,225.5249506,3.19972988,231.2357824,2.44726265,6,-12.483
32,225.2696658,3.128711681,237.7692251,2.38991685,6,-11.064
33,225.9091417,3.120059132,255.3064908,2.35896842,6,-9.078
34,224.6836011,3.157271931,238.7712502,2.425653137,6,-7.66
35,,,,,,-6.241
36,226.8970134,3.09739453,237.1864374,2.330106796,7,-6.241
37,224.8355544,3.043817803,195.4828701,2.360759588,7,-4.823
38,225.8065304,3.048514254,230.572069,2.317227393,7,-2.553
39,222.5948419,2.979669635,234.7335591,2.325305047,7,-0.851
40,,,,,,0
41,222.5761718,3.139408983,229.1687528,2.464357934,8,0.284
42,226.1541591,3.043560959,217.3115455,2.314787431,8,1.418
43,226.920243,3.020014122,204.9458004,2.288723419,8,3.404
44,227.1407117,3.034196053,186.2605179,2.312159865,8,5.106
45,,,,,,7.092
46,227.1970105,3.026375433,196.1214369,2.295470698,9,6.525
47,225.7743731,2.968551258,240.8405247,2.246710385,9,8.227
48,227.7861882,2.974239913,238.5948798,2.212373386,9,9.645
49,226.9601301,2.917974718,224.4480429,2.19151698,9,11.348
50,,,,,9,13.333
