Test No.,Displacement Into Surface,Load On Sample,Modulus,Hardness,Row Number,Distance,Test No.,Displacement Into Surface,Load On Sample,Modulus,Hardness,Row Number,Distance
11/20 Batch 01,nm,mN,GPa,GPa,,um,11/20 Batch 01,nm,mN,GPa,GPa,,um
1,221.1606068,2.915861439,191.371138,2.334471694,0,-67.259,1,224.4240411,2.979607616,238.1608731,2.284843506,0,-9.19
2,221.8093574,2.830111838,215.1563853,2.228022492,0,-68.93,2,225.4322167,3.025624479,191.8762254,2.33589827,0,-10.026
3,225.8255802,2.96303804,237.2916358,2.243158572,0,-70.601,3,224.3147163,2.974958749,237.4022297,2.283713519,0,-11.697
4,225.7598822,2.944670559,253.314385,2.221326948,0,-72.272,4,217.5835522,2.753203933,197.3117051,2.262790421,0,-13.368
5,224.1296856,2.919205802,240.3937728,2.239924893,0,-72.689,5,224.6831926,3.034389506,246.956606,2.319501137,0,-14.621
6,226.8989108,2.994418265,243.3453372,2.243607395,1,-61.828,6,226.683709,2.997690991,231.8978513,2.257001712,1,-2.924
7,223.0794965,2.866710473,246.1967961,2.214811121,1,-62.663,7,225.3625186,3.028936951,222.6228016,2.315652014,1,-3.342
8,223.488182,2.940097824,203.2997531,2.295079255,1,-63.499,8,224.1059705,2.980760681,220.1700641,2.303741176,1,-5.013
9,223.5363672,2.895340492,223.9132428,2.241860249,1,-65.588,9,226.5974214,3.156450939,216.1198886,2.399125498,1,-6.684
10,224.2624374,2.973954238,155.003639,2.3601529,1,-67.676,10,223.1532836,3.065701757,202.1869478,2.410267535,1,-7.519
11,223.5453532,2.895443636,207.0147376,2.2533115,2,-54.726,11,228.0625396,3.072955979,216.1905794,2.299874803,2,4.178
12,223.1315915,2.897829521,216.9245948,2.25681743,2,-55.979,12,227.2046484,3.057800511,196.9114073,2.320561978,2,2.925
13,225.0118676,2.94203385,223.0373245,2.250990008,2,-57.232,13,222.5321021,3.031903095,230.0213742,2.3736658,2,1.254
14,224.0462139,2.921323626,211.8583532,2.261158863,2,-58.903,14,221.7703047,3.023569467,234.8396004,2.380082065,2,0.836
15,224.9042338,2.940505864,235.2037452,2.244589971,2,-59.739,15,227.2039761,3.074618951,210.9338488,2.322955595,2,-0.835
16,223.6091751,2.942666994,222.5909552,2.280696054,3,-48.042,16,226.7323266,3.058037442,221.7208875,2.311492994,3,10.026
17,224.3806963,2.995573223,226.2817193,2.306213987,3,-48.46,17,225.145042,2.990691556,194.9872979,2.309783859,3,8.773
18,223.2194962,2.876496878,234.5981066,2.226278544,3,-50.131,18,224.4164277,3.055860219,185.5861218,2.389902063,3,8.355
19,224.2545638,2.921870166,247.1252779,2.236040299,3,-52.219,19,224.6406775,3.039812064,207.4855829,2.351246372,3,6.267
20,223.1857311,2.95603429,206.4485101,2.31248651,3,-53.89,20,225.5862993,3.14416708,265.2859784,2.380206932,3,5.013
21,225.222883,3.000179613,208.2318676,2.305153532,4,-41.358,21,227.8911241,3.11699882,202.5416001,2.349907334,4,16.293
22,221.3970732,2.930962665,242.8755497,2.304907844,4,-42.193,22,228.6400876,3.12429741,224.3032078,2.323669825,4,15.457
23,223.1827415,2.956455072,236.8436108,2.292235055,4,-44.282,23,227.5575459,3.130071523,252.2038337,2.334063675,4,14.622
24,223.5230809,2.901893896,234.6009043,2.241180177,4,-45.535,24,224.5432034,3.042681637,221.7980205,2.344961224,4,12.115
25,226.5281659,3.037880672,224.4150631,2.297492227,4,-46.788,25,227.3350987,3.139892788,242.7171242,2.351917057,4,11.28
26,226.8708425,3.001375808,222.7934183,2.261821141,5,-35.091,26,226.9203101,3.113555868,212.844824,2.359413503,5,23.812
27,226.7013634,3.050820148,174.8446723,2.347496083,5,-35.509,27,227.9767355,3.101330115,214.9589361,2.325529451,5,22.977
28,224.7633271,2.942710694,234.1312564,2.249874257,5,-37.18,28,224.6498637,3.076629919,212.5064147,2.377932759,5,20.888
29,224.4239394,3.018284134,240.7756035,2.315190522,5,-38.851,29,224.3167786,3.080225739,214.852225,2.386372747,5,19.217
30,225.1617646,3.001478231,209.1502535,2.306813511,5,-40.104,30,223.1160745,3.02751709,229.8285073,2.357444645,5,18.382
31,224.8685508,2.952178803,223.1473215,2.262215787,6,-28.825,31,224.5955189,3.059767354,184.9246599,2.389989461,6,30.079
32,222.7131705,2.931024187,184.6694974,2.320490598,6,-30.078,32,225.0157042,3.029733976,234.5698171,2.315895353,6,29.243
33,225.4076738,3.004654743,217.8317489,2.297959939,6,-30.914,33,225.0141606,3.046158228,217.6979176,2.340734273,6,27.155
34,222.3048653,2.908784849,209.6208594,2.288540532,6,-32.585,34,224.6621242,3.092993348,223.7192376,2.382944264,6,25.901
35,221.8341648,2.921696521,186.1227004,2.329967984,6,-34.256,35,228.4908967,3.103711071,155.6460593,2.378505907,6,25.066
36,225.9091217,2.936025854,180.5778697,2.261290548,7,-22.141,36,224.9534029,3.084479031,209.4874597,2.380326284,7,36.763
37,224.1059361,2.983842957,239.5876093,2.294114533,7,-23.394,37,224.7062505,3.065129958,185.1920464,2.391851008,7,35.51
38,225.2306373,2.981831269,160.9541153,2.337425927,7,-24.647,38,224.9284868,3.066057443,210.3415272,2.364754247,7,33.839
39,221.5305814,2.90180527,220.1833329,2.291399135,7,-25.901,39,224.8422923,3.094234343,233.0846958,2.373705645,7,32.168
40,226.8105335,3.007440204,202.662687,2.282458198,7,-27.154,40,229.1543205,3.244503384,233.9744395,2.402614113,7,31.332
41,229.296092,3.106891459,186.939819,2.32615985,8,-15.457,41,222.9337364,3.031133286,226.0949063,2.366946501,8,43.447
42,224.9351237,3.000637036,211.8912482,2.308807538,8,-16.71,42,226.892501,3.116767723,222.0044051,2.355870353,8,42.194
43,221.7321086,2.939132612,211.576222,2.325180883,8,-17.963,43,226.274055,3.187431818,244.6571671,2.411938991,8,40.523
44,224.2397927,2.950492263,220.9233388,2.27523151,8,-20.052,44,223.8215928,3.040583737,220.7710205,2.359425516,8,39.269
45,221.3950341,2.894914977,242.9873337,2.274494792,8,-20.888,45,223.1431294,3.030943055,221.5123541,2.36545878,8,37.598
46,225.9755939,2.96120797,196.1999691,2.266739079,9,-9.19,46,224.4416593,3.069115068,224.7036213,2.367127956,9,49.713
47,222.4527635,2.912710639,227.4621887,2.276534118,9,-10.026,47,224.6486211,3.081362789,193.978614,2.398103898,9,48.878
48,223.6996019,2.934001552,249.4639075,2.256070711,9,-10.861,48,222.9886873,3.039658613,192.0233916,2.401090949,9,47.207
49,222.8240214,2.980159566,236.8504184,2.319565793,9,-12.532,49,225.2345644,3.058943564,201.9211763,2.359148373,9,45.536
50,,,,,,-14.203,50,,,,,,44.7
